,Company,Stats,Quote,Chart
SWX,Gas Distributors,4020858100,73.47,68.47
THG,Property/Casualty Insurance,3578262243,94.09,124.46
OGS,Gas Distributors,4221318160,80.03,86.59
MTCH,Internet Software/Services,21925950584,80.1,68.14
ZM,Packaged Software,40020016327,144.82,113.11
HE,Electric Utilities,4182436400,38.05,45.09
DBX,Data Processing Services,8703371081,20.035,19.29
HELE,Electronics/Appliances,4182376216,163.59,171.25
DECK,Apparel/Footwear,3925317000,143.6,178.94
ZS,Packaged Software,8935636160,71.23,52.78
STOR,Real Estate Investment Trusts,4460766660,18.26,33.75
AWI,Building Products,3539486600,74.54,103.97
MMS,Miscellaneous Commercial Services,4222795720,65.92,66.43
RETA,Pharmaceuticals: Major,4289225076,157.57,207.94
GRUB,Specialty Stores,4286089710,47.79,48.55
BRKR,Medical Specialties,5585160220,37.45,45.6
PII,Recreational Products,4141677666,69.1,85.07
HIW,Real Estate Investment Trusts,3761712060,35.89,47.18
MOS,Chemicals: Agricultural,4161639600,11.78,17.66
HR,Real Estate Investment Trusts,3787176330,28.56,35.28
POR,Electric Utilities,4078899504,45.52,57.34
BC,Recreational Products,3498806040,45.59,54.03
ALK,Airlines,3526770450,28.97,50.03
CVNA,Specialty Stores,13212513438,86.0,82.36
JBL,Electronic Components,3936728040,26.25,33.72
AXTA,Industrial Specialties,4500370760,19.3,25.23
SAM,Beverages: Alcoholic,5719530935,485.5,363.8
HQY,Investment Managers,3669252840,55.0,71.53
SKX,Apparel/Footwear,4143483115,26.75,33.83
EV,Investment Managers,3998537159,35.29,43.55
XLRN,Biotechnology,5191740700,99.22,90.35
LSI,Real Estate Investment Trusts,3947741340,85.1,112.71
BKH,Electric Utilities,3760039920,60.05,76.43
STAG,Real Estate Investment Trusts,3786805124,25.21,28.8
LM,Investment Managers,4385686800,49.83,49.98
JBGS,Real Estate Investment Trusts,4861188370,32.59,37.99
FLS,Industrial Machinery,3498738570,27.24,41.65
EGP,Real Estate Investment Trusts,3960958100,104.86,129.52
TW,Internet Software/Services,12075353658,54.05,50.26
GPK,Containers/Packaging,3605982470,12.73,13.86
EVBG,Packaged Software,3783568310,112.86,111.86
PVH,Apparel/Footwear,3149349462,44.27,74.59
CRI,Apparel/Footwear Retail,3295683270,73.96,95.01
DISCA,Cable/Satellite TV,11392564140,21.245,26.4
NWSA,Publishing: Newspapers,5670884240,9.55,12.43
THO,Recreational Products,3370450940,64.89,77.55
DLB,Movies/Entertainment,5908999650,55.15,68.43
CHDN,Casinos/Gaming,3713960046,97.84,128.47
FFIN,Regional Banks,3930551170,27.2,30.51
IOVA,Biotechnology,4090815750,32.66,35.99
EME,Engineering & Construction,3262257924,60.05,79.56
UNM,Life/Health Insurance,3456525000,15.18,25.04
FTI,Oilfield Services/Equipment,3561678120,7.76,15.08
PCTY,Packaged Software,5841236640,112.77,133.22
CCMP,Semiconductors,3514546750,121.61,145.35
LFUS,Electrical Products,3405549504,140.14,163.17
SR,Gas Distributors,3642680440,72.57,79.52
WEN,Restaurants,4291477360,18.81,19.62
QTS,Real Estate Investment Trusts,3906374372,65.85,57.7
NFG,Integrated Oil,3369819730,39.71,38.46
ENPH,Semiconductors,5446966980,44.37,51.4
MNTA,Biotechnology,3722097960,33.58,31.35
TRNO,Real Estate Investment Trusts,3555970400,53.62,57.59
PFGC,Food Distributors,3569038140,24.3,43.21
JCOM,Internet Software/Services,3691373250,78.04,89.41
HLF,Medical Distributors,5187259120,33.81,34.31
QTWO,Information Technology Services,3749005740,79.74,77.94
HPP,Real Estate Investment Trusts,3549265400,22.98,33.06
EXPO,Engineering & Construction,3391781590,65.96,74.93
SITE,Wholesale Distributors,3539884544,92.06,99.49
ARWR,Biotechnology,3472500640,35.4,35.5
QLYS,Packaged Software,3949271160,102.58,82.03
HBI,Apparel/Footwear,3309812850,10.05,13.36
HEI,Aerospace & Defense,11105327730,82.38,112.7
XRX,Computer Peripherals,3579817420,17.03,33.51
BLD,Building Products,2982102030,98.08,105.74
JEF,Investment Banks/Brokers,3551244300,13.38,20.59
ERIE,Property/Casualty Insurance,8157439290,180.26,151.22
WH,Hotels/Resorts/Cruiselines,3335092740,38.5,52.96
HOG,Motor Vehicles,3110171850,20.53,31.06
LHCG,Medical/Nursing Services,3837383128,123.9,125.29
HUN,Chemicals: Major Diversified,3382197010,15.36,19.3
STWD,Real Estate Investment Trusts,3732374300,13.53,23.57
SNX,Electronics Distributors,4433113120,87.42,129.81
MSA,Other Consumer Specialties,4380393875,114.8,127.42
SLM,Finance/Rental/Leasing,3034526640,8.06,10.96
NVRO,Medical Specialties,3793044510,118.49,133.71
ASH,Chemicals: Specialty,3564212520,59.74,73.05
NEOG,Medical Specialties,3257201160,62.58,62.72
IART,Medical Specialties,4301461760,51.89,52.56
EQT,Oil & Gas Production,3780719200,14.33,6.08
DAR,Agricultural Commodities/Milling,3269297270,20.51,26.36
WAL,Regional Banks,3379517010,32.5,47.49
FSLR,Electronic Components,4595365600,43.1,44.95
ATH,Specialty Insurance,5709618401,24.29,42.25
UBSI,Regional Banks,2898116760,27.49,30.62
GMED,Medical Specialties,4427236781,47.86,47.1
CCOI,Specialty Telecommunications,3928816200,84.83,79.15
BRX,Real Estate Investment Trusts,3227513280,10.94,18.65
NCLH,Hotels/Resorts/Cruiselines,3097741000,11.18,35.59
HALO,Biotechnology,3292945650,23.87,20.55
STRA,Other Consumer Services,3318861240,157.3,149.18
PLAN,Packaged Software,5405969080,39.6,45.56
QRTEA,Internet Retail,3333904000,8.08,6.5
RXN,Industrial Machinery,3108565680,26.26,30.04
OLLI,Department Stores,4280745350,66.16,52.27
RYN,Real Estate Investment Trusts,3008285580,23.66,27.0
TOL,Homebuilding,3116339880,24.97,38.7
VLY,Regional Banks,3153240640,7.635,9.72
AYI,Electrical Products,3256904560,83.7,102.59
ENV,Packaged Software,3253999320,61.92,75.47
SYNH,Services to the Health Industry,5567833050,53.88,67.62
LBTYA,Cable/Satellite TV,14252568120,21.61,19.92
CBU,Regional Banks,3129474960,60.53,65.32
WMGI,Medical Specialties,3834911860,29.65,30.41
WWD,Industrial Machinery,3465431200,54.76,106.15
NXST,Broadcasting,2917193905,65.26,115.38
NKTR,Pharmaceuticals: Major,3392819980,19.48,20.1
HRB,Other Consumer Services,3175837500,15.86,21.5
SNV,Regional Banks,2862870480,19.21,30.06
CVBF,Regional Banks,2677697360,19.6,19.63
ROLL,Metal Fabrication,2902386400,120.77,170.73
AGCO,Trucks/Construction/Farm Machinery,3725680560,49.04,63.6
AXS,Multi-Line Insurance,2984992180,35.85,58.68
BJ,Specialty Stores,3691821000,26.57,21.06
VVV,Chemicals: Major Diversified,3143312640,16.65,19.48
GBCI,Regional Banks,3598801076,37.83,39.42
IVZ,Investment Managers,3712468640,7.86,14.78
PNM,Electric Utilities,3091356216,38.89,49.54
RLI,Property/Casualty Insurance,3291037002,72.8,84.03
SF,Investment Banks/Brokers,2858677608,41.51,57.97
ORA,Alternative Power Generation,3125426268,62.35,72.24
AMG,Investment Managers,3151615952,64.91,78.36
COHR,Semiconductors,2892064890,127.84,129.21
FCNCA,Regional Banks,3912667869,358.01,471.55
NWE,Electric Utilities,2842357921,57.16,74.33
RARE,Biotechnology,3860709800,64.68,57.07
MIDD,Industrial Machinery,2922580400,53.98,111.99
FTDR,Homebuilding,3284698110,39.67,44.92
PTCT,Biotechnology,3030594280,49.3,54.93
FCFS,Finance/Rental/Leasing,2876799510,69.63,80.52
BPMC,Biotechnology,3149971692,59.74,57.09
FOLD,Biotechnology,2992289440,12.11,9.32
WING,Restaurants,3554989110,120.94,84.8
IBKR,Investment Banks/Brokers,19977640469,40.26,54.23
BCPC,Chemicals: Specialty,2769864357,86.0,96.87
KEX,Marine Shipping,2991450420,47.78,64.86
RDN,Specialty Insurance,2696820880,14.02,22.73
PNFP,Regional Banks,2865240000,37.17,55.09
NEU,Chemicals: Specialty,4533872376,417.88,399.94
NVT,Electronic Components,2941802000,17.45,25.11
RBC,Industrial Machinery,2744686560,72.48,80.9
MORN,Investment Managers,6377677320,146.79,149.44
ACIW,Packaged Software,3080276460,27.09,29.24
NJR,Gas Distributors,3148108740,34.04,37.62
NUVA,Medical Specialties,2917332823,58.47,65.63
VAC,Other Consumer Services,3225132470,77.03,100.22
AGO,Specialty Insurance,2657376000,28.8,42.53
TXRH,Restaurants,3212528232,43.66,59.23
AVT,Electronics Distributors,2849829762,28.37,31.52
PRSP,Packaged Software,3389297280,21.46,25.45
KSS,Department Stores,2727689790,17.08,38.44
NOVT,Electronic Equipment/Instruments,2839621785,82.89,92.54
SIGI,Property/Casualty Insurance,2865386920,48.87,57.95
PSTG,Computer Peripherals,3436663230,13.17,15.76
OMCL,Information Technology Services,3051509630,72.31,83.2
EBS,Biotechnology,4157850000,79.51,58.79
AVA,Electric Utilities,2777772480,41.44,49.62
LAZ,Investment Banks/Brokers,2624508740,24.82,37.95
SRC,Real Estate Investment Trusts,2840169780,27.32,47.17
IIVI,Electronic Equipment/Instruments,2874764200,32.75,30.73
NVST,Medical Specialties,2997698340,19.02,25.63
POWI,Semiconductors,2867817240,98.11,91.76
FNB,Regional Banks,2513310720,7.51,10.64
NEO,Medical/Nursing Services,2710269550,27.35,29.48
BLUE,Biotechnology,3099008750,56.22,73.84
FL,Apparel/Footwear Retail,2432859850,22.96,33.67
ADC,Real Estate Investment Trusts,3080403520,63.06,74.36
MAT,Recreational Products,2976402000,8.605,11.96
HXL,Aerospace & Defense,2541459952,29.13,67.11
ALE,Electric Utilities,2875750120,56.55,74.39
MYOK,Pharmaceuticals: Other,2755514425,61.55,64.52
AVTR,Chemicals: Specialty,9750812800,16.97,16.0
AXE,Wholesale Distributors,3174040025,93.61,97.58
MSGS,Movies/Entertainment,3997133323,168.03,189.26
NTNX,Packaged Software,3433925880,17.77,24.09
JBLU,Airlines,2324874340,8.29,15.57
CLH,Environmental Services,2853991920,50.49,72.68
GH,Medical/Nursing Services,6982975524,77.82,78.08
LSXMA,Movies/Entertainment,19789153320,32.86,45.29
AJRD,Aerospace & Defense,3142682556,40.58,50.99
BOH,Regional Banks,2544280413,61.27,77.98
AWR,Water Utilities,2845600600,77.96,80.49
CLGX,Data Processing Services,3223292490,42.25,48.29
ESNT,Specialty Insurance,2564627616,26.75,46.81
MRTX,Biotechnology,3974850836,92.01,95.23
BHF,Life/Health Insurance,2482220494,25.37,37.46
CR,Miscellaneous Manufacturing,2919217475,51.15,71.56
MUSA,Specialty Stores,3225583680,108.24,100.72
LB,Apparel/Footwear Retail,3329457320,11.62,22.25
LBRDA,Cable/Satellite TV,22425001840,123.85,126.21
SMTC,Semiconductors,2774575150,43.84,40.86
FND,Home Improvement Chains,4057654260,42.57,52.8
TDC,Computer Processing Hardware,2558358400,22.87,20.87
BXMT,Real Estate Investment Trusts,3079349000,22.71,37.91
LANC,Food: Specialty/Candy,3713154480,142.63,149.26
PE,Oil & Gas Production,3900253348,9.23,13.18
BRKS,Electronic Production Equipment,2603692700,36.45,35.01
DOC,Real Estate Investment Trusts,2979613470,14.76,19.3
UNF,Other Consumer Services,3101361678,163.76,188.26
KNSL,Multi-Line Insurance,2593328538,128.5,129.4
PEGA,Information Technology Services,6522586608,85.54,90.44
FHN,Regional Banks,2703852210,8.58,14.05
FGEN,Biotechnology,3291982848,36.31,43.15
NCR,Computer Processing Hardware,2452367840,18.1,25.98
EE,Electric Utilities,2776004056,68.09,68.0
KBR,Engineering & Construction,2730621860,19.16,26.38
STMP,Miscellaneous Commercial Services,2727595520,169.18,147.12
GRA,Chemicals: Specialty,3119348080,48.86,58.45
HLI,Investment Banks/Brokers,3779271475,58.5,53.63
LSCC,Semiconductors,2899779420,21.3,18.63
OFC,Real Estate Investment Trusts,2752872660,24.86,26.58
WDFC,Industrial Specialties,2297864160,171.73,180.31
TCO,Real Estate Investment Trusts,2667643720,43.65,52.56
LPX,Forest Products,2199634090,19.61,29.88
LXP,Real Estate Investment Trusts,2522464080,9.97,10.72
AL,Finance/Rental/Leasing,2681786000,23.96,39.2
VRNT,Information Technology Services,2764437372,43.96,53.91
BCO,Miscellaneous Commercial Services,2347795800,48.37,81.56
EXP,Construction Materials,2455330240,59.26,81.65
SSD,Building Products,3110500260,72.46,82.93
ITGR,Electrical Products,2295865980,72.05,91.15
VIAV,Electronic Equipment/Instruments,2723892990,12.13,13.55
MSM,Wholesale Distributors,3205075023,59.09,63.97
MTG,Specialty Insurance,2229224400,6.77,12.75
THS,Food: Major Diversified,2862712320,51.19,40.6
UFPI,Forest Products,2483329390,40.78,48.61
PSB,Real Estate Investment Trusts,3378592230,121.49,157.96
LAD,Specialty Stores,2479823008,106.98,120.35
TRGP,Oil Refining/Marketing,2787983640,12.45,33.91
CHH,Hotels/Resorts/Cruiselines,3958922940,71.98,94.35
UMPQ,Regional Banks,2569442250,11.33,16.12
RAMP,Data Processing Services,2440525260,36.88,0.0
EHTH,Life/Health Insurance,2645207360,108.15,123.87
VSAT,Telecommunications Equipment,2446651834,39.83,59.02
DT,Packaged Software,7935181920,29.3,32.38
BL,Packaged Software,3222509320,61.05,63.02
JBT,Industrial Machinery,2214473310,70.37,100.06
WTM,Multi-Line Insurance,3029524685,935.94,1006.0
PACW,Regional Banks,2183822840,18.12,32.73
IRTC,Medical Specialties,2886228252,106.61,88.02
LIVN,Medical Specialties,2454211080,49.81,70.14
ENS,Electrical Products,2348149500,55.78,63.87
NTRA,Medical/Nursing Services,2837154383,36.31,36.96
CHNG,Packaged Software,1399720680,11.5,14.33
AXSM,Pharmaceuticals: Other,3400555688,90.33,88.87
OZK,Regional Banks,2699334990,20.61,26.42
ACIA,Computer Communications,2838648698,68.3,68.6
IBKC,Savings Banks,2072662410,39.095,63.42
BLKB,Packaged Software,2641336476,55.42,69.93
ENR,Household/Personal Care,2573186980,38.68,46.19
STL,Regional Banks,2249902200,11.03,17.7
NRZ,Real Estate Investment Trusts,2518832940,6.52,16.54
RH,Specialty Stores,2737282236,143.28,192.96
WBS,Savings Banks,2370621880,25.12,40.56
WPX,Oil & Gas Production,3266691600,5.66,9.08
CBRL,Restaurants,2181207300,86.89,149.3
SJI,Gas Distributors,2450796480,26.66,28.77
BRC,Miscellaneous Manufacturing,2268959679,43.18,48.86
OLN,Industrial Specialties,1892633490,11.57,16.93
XEC,Oil & Gas Production,2444114480,23.26,32.72
ASGN,Personnel Services,2751710445,52.3,50.93
SBRA,Real Estate Investment Trusts,2522208930,12.235,19.48
DEA,Real Estate Investment Trusts,2108752280,25.38,25.26
SHEN,Major Telecommunications,2259836280,45.47,45.85
PDM,Real Estate Investment Trusts,2044957040,16.28,22.34
CWT,Water Utilities,2222332680,46.39,50.34
SLGN,Containers/Packaging,3749657220,33.65,30.36
ADSW,Environmental Services,2915554290,32.4,32.97
PRLB,Industrial Machinery,2513318500,96.27,88.67
AGR,Electric Utilities,12788168120,42.71,52.0
SAIA,Trucking,2312909217,94.58,87.76
H,Hotels/Resorts/Cruiselines,5236554591,51.16,77.04
VMI,Metal Fabrication,2450456284,113.08,118.52
TKR,Metal Fabrication,2746668599,37.33,45.31
BOX,Information Technology Services,2298236000,15.72,16.89
EPR,Real Estate Investment Trusts,2153146800,26.97,60.82
WRI,Real Estate Investment Trusts,2189774760,16.86,27.74
NHI,Real Estate Investment Trusts,2325372000,52.68,82.44
FRPT,Food: Specialty/Candy,2887118154,77.02,69.25
SYNA,Information Technology Services,2101928972,64.63,69.71
MGEE,Electric Utilities,2182697280,63.44,74.33
AGIO,Biotechnology,2645352960,39.45,49.34
NEWR,Information Technology Services,3075230700,53.03,54.92
CPRI,Apparel/Footwear Retail,2073186200,13.81,25.43
SAFM,Food: Meat/Fish/Dairy,2992345280,136.53,124.48
ABM,Miscellaneous Commercial Services,2156179160,32.21,34.72
SPR,Aerospace & Defense,2129445520,18.8,52.98
CNO,Multi-Line Insurance,1948636000,13.48,16.87
HOMB,Regional Banks,2379396190,13.87,17.38
JHG,Investment Managers,3372831360,18.2,21.66
WYND,Hotels/Resorts/Cruiselines,2107937648,23.8,40.86
ITRI,Electronic Equipment/Instruments,2706048180,56.515,79.1
SFM,Food Retail,2557757440,22.26,16.62
CHWY,Internet Retail,15750993055,42.09,28.93
TPX,Home Furnishings,2775287095,53.2,77.53
ISBC,Savings Banks,2196993060,8.69,10.97
ARES,Investment Managers,12175024677,32.5,36.5
HHC,Real Estate Development,2886412944,51.99,110.34
TGNA,Broadcasting,2318908860,10.4,15.03
SCL,Chemicals: Specialty,2047253860,91.88,90.48
FHB,Regional Banks,2203181160,16.4,24.92
APLE,Real Estate Investment Trusts,1947324240,8.33,13.19
HAIN,Food: Specialty/Candy,2658685950,26.21,25.23
MTZ,Engineering & Construction,2587230684,35.45,50.71
LCII,Miscellaneous Manufacturing,2011222680,84.47,98.64
HMSY,Miscellaneous Commercial Services,2518826541,28.56,23.98
WTFC,Regional Banks,2250584950,38.12,55.79
ADS,Data Processing Services,2207035180,45.34,86.07
AN,Specialty Stores,3264906260,36.73,44.03
MEDP,Miscellaneous Commercial Services,2795646735,80.32,94.84
ARNA,Biotechnology,2579973720,50.58,47.17
TNET,Miscellaneous Commercial Services,3280488574,50.38,54.57
ASB,Regional Banks,2130143400,13.63,17.7
WTS,Industrial Machinery,2768790912,81.58,95.63
CFX,Industrial Machinery,2791333930,24.11,34.24
UHAL,Finance/Rental/Leasing,5415141360,279.14,335.03
PCH,Real Estate Investment Trusts,2198690544,32.69,37.8
EVR,Investment Banks/Brokers,2006515121,48.48,68.05
PK,Real Estate Investment Trusts,2035047360,8.27,18.83
FN,Semiconductors,2176493220,58.02,57.5
BLDR,Building Products,1963729240,16.9,24.17
BXS,Regional Banks,2180349780,20.19,26.0
SANM,Electronic Components,1823191821,27.11,26.77
ESGR,Insurance Brokers/Services,3106232206,137.7,184.87
ONB,Regional Banks,2194298610,13.11,16.69
EYE,Specialty Stores,2004149272,24.4,36.33
THC,Hospital/Nursing Management,1877322880,18.9,28.4
EXLS,Data Processing Services,2102547447,62.03,76.51
INDB,Regional Banks,2279969652,66.14,71.49
PLXS,Electronic Components,1771590200,60.53,66.72
HP,Contract Drilling,1990337400,17.0,37.62
WMS,Miscellaneous Manufacturing,2712231980,40.25,43.69
UMBF,Regional Banks,2336083757,46.99,61.12
MMSI,Medical Specialties,2185843100,39.48,36.92
IRDM,Wireless Telecommunications,2776788000,21.75,27.85
POL,Chemicals: Specialty,2011654573,22.09,25.11
COMM,Telecommunications Equipment,1943075800,10.16,11.16
MANT,Packaged Software,2993419848,75.91,78.74
ALKS,Biotechnology,2181073860,14.32,21.24
OUT,Real Estate Investment Trusts,2049812600,13.32,27.13
DKS,Specialty Stores,2368208091,27.4,36.48
KBH,Homebuilding,2335367360,26.33,34.29
JJSF,Food: Specialty/Candy,2293746576,124.1,163.97
GATX,Finance/Rental/Leasing,2071236860,60.86,72.76
AAN,Finance/Rental/Leasing,2091843360,29.4,38.75
GO,Food Retail,2975618196,34.45,31.53
ACHC,Medical/Nursing Services,1915859452,26.23,29.93
WAFD,Savings Banks,1934290855,25.0,31.56
SXT,Wholesale Distributors,1969898580,46.28,50.89
PENN,Casinos/Gaming,1826432440,15.73,28.22
MIC,Investment Managers,2479089218,27.76,40.42
VSH,Electronic Components,2257914834,15.8,19.13
CBT,Industrial Specialties,1781452400,31.4,38.61
FEYE,Information Technology Services,2342090440,10.8,13.62
SSB,Regional Banks,1837758790,52.54,70.89
BKU,Regional Banks,1680870597,17.68,30.9
NWN,Gas Distributors,1897632912,63.2,66.27
FOXF,Recreational Products,1935554420,52.0,63.44
JWN,Apparel/Footwear Retail,2792339560,17.34,34.42
TRIP,Other Consumer Services,2510857421,18.36,24.11
STAY,Hotels/Resorts/Cruiselines,2677776402,10.3,11.22
PBH,Pharmaceuticals: Other,2009634680,39.37,39.13
CNX,Integrated Oil,1960378320,10.76,5.35
TDS,Wireless Telecommunications,1984652396,18.01,20.81
AMN,Personnel Services,1995043320,43.06,74.48
SPXC,Industrial Conglomerates,1558559480,36.52,44.82
CNNE,Financial Conglomerates,2435605710,31.34,39.54
