,Company,Stats,Quote,Chart
KMT,Industrial Machinery,1847796420,24.22,28.54
IDCC,Telecommunications Equipment,1700749314,55.22,54.0
ESE,Aerospace & Defense,1925005230,74.66,93.21
CSFL,Regional Banks,2046936680,15.83,21.26
CCXI,Biotechnology,3370190220,54.45,46.52
OTTR,Electric Utilities,1748329680,43.15,50.0
PINC,Hospital/Nursing Management,3817855166,30.45,30.69
SHOO,Apparel/Footwear,1892961180,22.67,32.72
NVTA,Medical/Nursing Services,2026347260,16.67,20.1
UNVR,Wholesale Distributors,2276488920,13.62,17.31
SABR,Packaged Software,1861540800,6.68,13.42
ROG,Chemicals: Specialty,1993112280,106.26,119.71
CLDR,Packaged Software,2275922610,7.77,9.1
KAR,Miscellaneous Commercial Services,1832893920,14.09,20.21
SAGE,Pharmaceuticals: Other,2061655838,39.99,53.36
CATY,Regional Banks,2041895913,24.78,32.13
WWE,Movies/Entertainment,3406264884,44.31,46.36
OMF,Finance/Rental/Leasing,2991261860,22.02,38.57
COLM,Apparel/Footwear,4346577598,65.32,81.97
FHI,Investment Managers,2293392060,22.07,30.9
AUB,Regional Banks,1769409792,22.04,30.3
AEIS,Electronic Production Equipment,2039411700,54.82,59.94
SHO,Real Estate Investment Trusts,1934372720,8.57,11.31
HWC,Regional Banks,1784564760,19.75,35.09
ESTC,Packaged Software,5154960680,63.68,72.74
UAA,Apparel/Footwear,4379114490,9.38,14.1
ESI,Chemicals: Major Diversified,2452704580,10.19,10.72
CC,Industrial Specialties,1790778310,12.18,14.43
UI,Telecommunications Equipment,10197286020,158.21,0.0
FATE,Biotechnology,2160407650,27.89,31.01
NSIT,Information Technology Services,1832670080,53.6,57.07
ICPT,Pharmaceuticals: Other,2583559920,80.35,92.06
SFNC,Major Banks,1929469080,17.0,22.38
CIT,Major Banks,1666320040,16.04,40.64
AIT,Wholesale Distributors,1861806700,51.79,58.66
BHVN,Pharmaceuticals: Major,2846349530,48.74,46.56
ZG,Information Technology Services,8906387004,42.86,54.62
FULT,Regional Banks,1745112350,10.57,15.25
RHP,Real Estate Investment Trusts,1756768000,30.21,70.84
IOSP,Chemicals: Specialty,1734718723,70.36,89.0
SPB,Electronics/Appliances,1916116250,42.61,57.71
TMHC,Homebuilding,1804018080,14.37,23.82
VRNS,Information Technology Services,2034091520,71.74,84.44
MNRO,Specialty Stores,1761056440,52.88,56.57
KW,Real Estate Development,1932115700,13.42,20.82
CMPR,Commercial Printing/Forms,1682923632,68.3,115.04
NGVT,Chemicals: Major Diversified,1967312886,46.6,49.13
CSGS,Data Processing Services,1572482520,47.88,45.56
TRTN,Finance/Rental/Leasing,2063300424,29.74,34.62
CNMD,Medical Specialties,1939347036,67.06,97.69
RPD,Information Technology Services,2302149804,46.66,46.48
GT,Automotive Aftermarket,1479895680,6.14,9.49
GPS,Apparel/Footwear Retail,2958753660,7.45,14.03
ENSG,Medical/Nursing Services,1832683655,35.57,44.33
PZZA,Restaurants,2348410900,76.16,57.39
CFFN,Savings Banks,1645784560,11.67,12.88
NSP,Personnel Services,1906321585,53.0,69.41
TRN,Trucks/Construction/Farm Machinery,2142222120,18.46,21.0
SPSC,Packaged Software,1895531706,55.89,55.16
FELE,Industrial Machinery,2290745360,48.7,52.81
DIOD,Semiconductors,2392511520,47.36,45.2
BDN,Real Estate Investment Trusts,1819664550,10.17,14.16
HGV,Real Estate Development,1556115632,17.53,26.58
PCRX,Pharmaceuticals: Other,1710784416,41.25,43.59
MTH,Homebuilding,2012970150,55.11,65.21
AIN,Textiles,1566928000,49.7,67.25
KWR,Chemicals: Specialty,2517554010,141.99,156.23
M,Department Stores,1631960900,5.16,12.99
PRGS,Packaged Software,1731504080,38.58,37.7
CMC,Steel,1897848280,15.83,18.92
UA,Apparel/Footwear,3936231910,8.46,12.49
CLF,Steel,1718026340,4.38,5.92
NTCT,Information Technology Services,1883307600,26.27,26.07
FG,Life/Health Insurance,2173730800,10.21,11.74
SUM,Construction Materials,1595273164,13.9,19.84
CROX,Apparel/Footwear,1502462500,22.51,26.54
TREE,Finance/Rental/Leasing,3205529570,234.2,283.91
LGND,Biotechnology,1537240266,99.88,102.79
B,Industrial Machinery,1790708750,35.58,55.54
HASI,Real Estate Investment Trusts,1965580695,27.76,36.67
INT,Wholesale Distributors,1576026240,23.42,29.32
INSM,Biotechnology,2234374538,23.88,26.1
CMP,Chemicals: Specialty,1542424920,45.55,55.97
KLIC,Semiconductors,1319721578,21.71,23.69
AAON,Industrial Machinery,2363635910,46.13,57.89
PGRE,Real Estate Investment Trusts,1902615000,8.62,12.45
WERN,Trucking,2821513080,41.75,33.41
APLS,Pharmaceuticals: Major,2575751841,35.3,36.66
R,Finance/Rental/Leasing,1761466080,33.92,37.48
CSOD,Packaged Software,2097901400,33.5,41.1
DK,Oil Refining/Marketing,1670378528,20.42,20.55
HCSG,Miscellaneous Commercial Services,1870074080,25.22,27.57
NAVI,Finance/Rental/Leasing,1399337080,7.19,11.58
PINS,Internet Software/Services,13028992949,20.81,20.0
SC,Finance/Rental/Leasing,4842459440,15.09,24.05
WWW,Apparel/Footwear,1565300784,18.92,26.45
CWST,Environmental Services,2119759428,46.06,49.42
FSS,Trucks/Construction/Farm Machinery,1612694402,26.41,30.34
SHAK,Restaurants,1994753335,49.22,57.2
GNW,Life/Health Insurance,1692172100,3.35,4.18
VG,Specialty Telecommunications,2102546660,8.3,8.8
CXP,Real Estate Investment Trusts,1506819210,12.79,19.8
TRMK,Regional Banks,1583654562,24.09,28.34
ATGE,Other Consumer Services,1670494980,31.55,30.91
TERP,Alternative Power Generation,3714944400,16.85,19.67
ACA,Trucks/Construction/Farm Machinery,1677735840,34.32,43.89
MC,Investment Banks/Brokers,2194236273,29.53,32.28
ATRC,Medical Specialties,1644174675,41.07,39.11
GEO,Real Estate Investment Trusts,1419550000,11.57,16.52
YELP,Internet Software/Services,1632415239,21.99,31.65
AMBA,Semiconductors,1694351958,50.4,59.87
EPAY,Packaged Software,1736555680,40.07,44.33
MUR,Oil & Gas Production,1666267050,10.46,19.06
HUBG,Air Freight/Couriers,1505930934,44.17,48.78
FORM,Electronic Production Equipment,1708223940,22.88,22.65
CXW,Real Estate Investment Trusts,1402051880,11.81,16.08
MTOR,Auto Parts: OEM,1346913352,18.99,22.59
SWN,Oil & Gas Production,1608816330,2.99,1.45
ETRN,Oil & Gas Pipelines,2009069820,8.46,6.65
SEM,Hospital/Nursing Management,1943538050,15.01,24.62
TPH,Homebuilding,1433909370,11.22,15.78
WRE,Real Estate Investment Trusts,1761585940,21.5,27.57
HLNE,Investment Managers,3222041547,64.67,66.33
FUL,Industrial Specialties,1788588690,34.59,40.29
NUS,Household/Personal Care,1439613745,27.34,24.75
SKYW,Airlines,1315225690,24.83,43.6
COLB,Regional Banks,1728548325,23.03,34.89
ONTO,Electronic Production Equipment,1534131900,31.09,0.0
ARCT,Pharmaceuticals: Major,591441660,38.47,14.1
XNCR,Biotechnology,1659409728,29.87,32.28
DORM,Automotive Aftermarket,1962819650,60.51,61.68
SAIL,Packaged Software,1565847770,18.39,25.09
BMI,Industrial Machinery,1634650836,57.31,63.89
WLK,Chemicals: Major Diversified,5302176630,42.75,57.3
DOOR,Building Products,1450062600,57.34,77.71
IBOC,Regional Banks,1784488684,27.43,35.69
MSEX,Water Utilities,1064476560,61.81,64.43
SJW,Water Utilities,1675388400,58.24,63.1
RLJ,Real Estate Investment Trusts,1414762560,8.19,13.66
BEAT,Medical Specialties,1490571720,45.25,43.47
KPTI,Biotechnology,1511490860,19.63,27.72
LMNX,Biotechnology,1633652280,38.2,26.36
CNS,Investment Managers,2733081603,58.65,66.45
MGRC,Finance/Rental/Leasing,1282096955,51.91,70.68
AEL,Life/Health Insurance,1764594288,19.16,26.59
MTX,Chemicals: Specialty,1441560442,42.44,45.02
AA,Aluminum,1450168200,7.81,13.73
COTY,Household/Personal Care,4054285820,5.23,9.3
PDCO,Medical Distributors,1556847500,16.88,24.93
MNR,Real Estate Investment Trusts,1250046160,12.62,14.63
AIMC,Industrial Machinery,1652216300,27.12,30.3
WSFS,Savings Banks,1373166960,26.48,36.42
CNK,Movies/Entertainment,1610119900,13.24,24.74
ALLK,Pharmaceuticals: Major,2807458620,59.58,65.5
FLR,Engineering & Construction,1397534780,9.66,10.04
EVTC,Data Processing Services,1836869400,25.32,31.04
ALRM,Information Technology Services,2028521600,43.18,50.11
IRBT,Electronics/Appliances,1651865932,59.0,47.35
CTRE,Real Estate Investment Trusts,1507455510,16.3,21.22
INO,Medical Specialties,1638625450,10.64,4.39
YETI,Miscellaneous Manufacturing,2302691000,26.88,29.61
EPRT,Real Estate Development,1162245472,12.34,24.67
EGHT,Packaged Software,1650598380,16.3,18.6
HI,Industrial Conglomerates,1447307030,19.69,23.64
BECN,Wholesale Distributors,1419467780,21.32,31.2
KFY,Personnel Services,1535177160,27.71,35.62
APPF,Information Technology Services,3603997140,111.5,123.44
JACK,Restaurants,1365780850,59.47,71.63
WORK,Packaged Software,15145164653,27.29,27.21
CPK,Gas Distributors,1414591080,86.85,91.34
BOKF,Regional Banks,3483083090,48.48,74.7
FMBI,Regional Banks,1542271230,12.85,18.93
AVNS,Medical Specialties,1482346240,30.15,32.76
HL,Precious Metals,1417999370,2.64,2.83
SMPL,Food: Major Diversified,1735897800,18.17,22.42
MWA,Industrial Machinery,1474475880,8.92,11.36
PEB,Real Estate Investment Trusts,1432844620,10.83,20.22
GHC,Other Consumer Services,1924600793,355.17,501.07
GKOS,Medical Specialties,1527730568,38.44,44.27
UFS,Pulp & Paper,1218601824,21.7,30.23
IRWD,Pharmaceuticals: Other,1625553600,10.495,12.69
CVLT,Packaged Software,1914835090,41.45,41.64
NAV,Trucks/Construction/Farm Machinery,2302221740,23.06,36.11
SFBS,Regional Banks,1810773720,32.71,35.84
DAN,Auto Parts: OEM,1530064380,10.39,14.4
PS,Information Technology Services,2149358474,15.99,17.26
SIX,Movies/Entertainment,1746235630,18.92,25.14
MDC,Homebuilding,1825384350,27.61,41.23
FRME,Regional Banks,1449210536,26.35,37.25
CIM,Real Estate Investment Trusts,1430406640,7.89,21.1
RDFN,Real Estate Development,1953246016,20.19,28.62
DNLI,Biotechnology,2451092050,24.39,19.88
ESRT,Real Estate Investment Trusts,1464002890,7.97,12.32
VC,Auto Parts: OEM,1654196250,59.41,67.39
WSBC,Regional Banks,1589947551,22.37,31.52
GDOT,Finance/Rental/Leasing,1480810950,28.98,34.23
URBN,Apparel/Footwear Retail,1648520220,15.92,23.02
ABCB,Regional Banks,1674229743,23.17,35.27
AEO,Apparel/Footwear Retail,1232975000,7.24,13.07
NSA,Real Estate Investment Trusts,2632522172,27.11,35.45
VIRT,Investment Banks/Brokers,4740535117,24.9,19.67
FLOW,Industrial Machinery,1288580800,31.0,38.62
CVCO,Homebuilding,1375688160,151.09,205.57
CLI,Real Estate Investment Trusts,1368913115,14.78,19.7
EPC,Household/Personal Care,1436314350,26.88,32.66
CALM,Food: Specialty/Candy,2116697751,43.08,36.39
RMBS,Semiconductors,1443098020,14.51,14.3
SPCE,Aerospace & Defense,3509538720,16.62,25.98
MSGE,Media Conglomerates,1948351096,79.76,0.0
FWRD,Air Freight/Couriers,1317048876,47.51,61.47
RPAI,Real Estate Investment Trusts,1244048820,5.68,10.69
EGOV,Internet Software/Services,1554373700,23.91,18.6
PLUG,Electronic Components,1314350130,4.17,4.36
BDC,Electrical Products,1423374300,32.14,41.35
ILPT,Real Estate Investment Trusts,1156399640,17.26,21.26
SATS,Telecommunications Equipment,2931157079,29.9,35.3
FCPT,Real Estate Investment Trusts,1488051608,20.97,29.53
APAM,Investment Managers,2295625350,29.25,29.97
KALU,Aluminum,1039113576,67.07,97.97
FIT,Other Consumer Specialties,1829735181,6.81,6.49
WK,Information Technology Services,1778573184,37.99,42.56
SVMK,Information Technology Services,2069669300,15.51,17.62
HTH,Regional Banks,1622490283,17.27,21.77
X,Steel,1413050100,8.06,8.27
MLI,Metal Fabrication,1384108674,24.8,28.58
CRWD,Packaged Software,15656210690,71.59,59.13
WABC,Regional Banks,1628308720,59.81,60.76
CARG,Internet Software/Services,2641239629,23.85,24.86
ERI,Casinos/Gaming,1472966016,18.37,45.43
CWEN,Electric Utilities,7003128355,20.31,21.59
UHT,Real Estate Investment Trusts,1392997500,98.59,110.25
AM,Oil & Gas Pipelines,2244296160,4.55,4.44
KOD,Biotechnology,2293759320,55.43,67.71
KTOS,Aerospace & Defense,1559491380,14.92,16.2
RNST,Regional Banks,1370865200,23.49,29.68
DRH,Real Estate Investment Trusts,1123422334,5.2,9.24
BYD,Casinos/Gaming,1758926320,15.46,26.21
ARGO,Multi-Line Insurance,1131912190,32.19,57.49
RGNX,Biotechnology,1560696420,42.85,40.04
CORT,Pharmaceuticals: Other,1454299380,13.24,13.22
GTLS,Industrial Machinery,1233280510,34.93,56.84
OI,Containers/Packaging,1211859540,7.39,10.72
CENTA,Consumer Sundries,1676291561,30.57,26.04
OSIS,Semiconductors,1312285450,71.75,82.22
TBPH,Pharmaceuticals: Other,1677113240,27.71,25.42
ICFI,Miscellaneous Commercial Services,1331278383,69.95,81.52
PAG,Specialty Stores,2769605120,33.88,46.79
ADNT,Auto Parts: OEM,1389074330,15.23,23.53
IIPR,Real Estate Investment Trusts,1301357123,77.07,97.95
ROCK,Metal Fabrication,1485540000,46.91,52.31
WW,Other Consumer Services,1603951500,22.76,30.01
BMCH,Building Products,1388150400,21.8,26.1
VGR,Tobacco,1559335050,10.47,11.46
ATKR,Electrical Products,1085484240,23.86,38.8
UE,Real Estate Investment Trusts,1261501850,10.1,16.78
LPSN,Internet Software/Services,1559068640,23.39,25.96
SBH,Specialty Stores,1108299140,9.66,12.35
DLX,Commercial Printing/Forms,1118403880,25.7,33.11
CATS,Medical/Nursing Services,417781800,24.2,16.35
PLUS,Electronics Distributors,923000040,67.56,76.08
FFBC,Regional Banks,1422509880,14.0,21.79
MXL,Semiconductors,1133105922,16.01,15.28
PRAA,Miscellaneous Commercial Services,1205909792,26.4,38.55
CMD,Medical Specialties,1384348275,33.33,62.57
TOWN,Regional Banks,1380582240,18.11,24.4
CORE,Wholesale Distributors,1303887120,27.23,27.66
TCBI,Regional Banks,1364026005,26.48,48.75
UNIT,Real Estate Investment Trusts,1312623000,6.63,10.33
COKE,Beverages: Non-Alcoholic,2182840597,233.64,221.02
ADUS,Medical/Nursing Services,1150121280,88.65,82.08
PPC,Food: Meat/Fish/Dairy,4974238080,20.215,21.49
WGO,Recreational Products,1365065470,44.04,52.7
TWOU,Packaged Software,1624553520,27.71,24.7
KN,Electronic Components,1368923400,14.79,16.72
PTON,Other Consumer Services,9514642963,36.22,27.92
LTC,Real Estate Investment Trusts,1331836488,34.51,45.99
MD,Medical/Nursing Services,1144526160,13.06,17.42
CSII,Medical Specialties,1401108000,41.2,39.45
MLHR,Office Equipment/Supplies,1262967300,21.76,34.26
KEM,Electronic Components,1576149400,27.09,26.02
CERS,Medical Specialties,852566000,5.34,5.11
RCUS,Biotechnology,1241586900,27.14,17.59
MINI,Finance/Rental/Leasing,1177447100,26.98,41.02
IBP,Wholesale Distributors,1389975378,49.53,64.83
BAND,Miscellaneous Commercial Services,2206210563,97.49,64.03
APPN,Packaged Software,3002556993,46.52,45.89
PDCE,Oil & Gas Production,1167308200,11.84,18.53
WOR,Steel,1386460608,25.17,32.74
WCC,Wholesale Distributors,1082417050,25.93,41.57
EPZM,Biotechnology,1676419500,18.27,22.99
RRC,Oil & Gas Production,1585247000,5.91,2.63
SAFT,Property/Casualty Insurance,1213369560,79.46,82.67
ARI,Real Estate Investment Trusts,1192128250,7.82,17.02
TWO,Real Estate Investment Trusts,1200787920,4.54,14.29
FIX,Engineering & Construction,1157954250,33.36,43.17
VCYT,Biotechnology,1366499546,27.25,26.1
TNC,Industrial Machinery,1051387560,57.94,74.47
NWBI,Savings Banks,1307828250,10.14,14.65
ABG,Specialty Stores,1272028420,67.45,93.03
CLR,Oil & Gas Production,5221087300,13.66,18.09
SUPN,Pharmaceuticals: Other,1163184678,22.17,18.7
INOV,Data Processing Services,2520428411,16.35,19.96
DDOG,Packaged Software,13614864664,46.6,44.79
AAT,Real Estate Investment Trusts,1641057760,27.09,42.91
ARVN,Biotechnology,1957480000,51.33,48.38
ALTR,Packaged Software,2298749260,31.94,35.14
NWS,Publishing: Newspapers,5829716060,9.81,12.66
ZGNX,Pharmaceuticals: Other,1464314922,26.645,25.25
ROIC,Real Estate Investment Trusts,1058839600,9.17,15.49
MCY,Property/Casualty Insurance,2184980260,37.14,45.5
CVGW,Food: Specialty/Candy,947457060,53.32,55.22
PRFT,Personnel Services,1087320000,33.32,42.84
PSMT,Discount Stores,1911644470,62.17,57.65
CLNY,Real Estate Investment Trusts,1119259414,2.05,4.31
HRTX,Biotechnology,1302526977,14.38,18.3
NNI,Finance/Rental/Leasing,1858373788,47.06,52.37
UVV,Tobacco,1145181400,44.77,49.79
GNL,Real Estate Investment Trusts,1193383060,13.25,18.96
MODN,Information Technology Services,918569160,27.48,29.83
TENB,Packaged Software,2554076620,26.12,24.93
ELY,Recreational Products,1293985000,13.21,16.7
SBGI,Broadcasting,1357584979,15.38,23.54
BGS,Food: Major Diversified,1262961484,19.53,16.09
AVAV,Aerospace & Defense,1428662300,60.59,54.32
TWNK,Food: Specialty/Candy,1512655877,11.515,12.68
WDR,Investment Managers,939835500,13.67,14.28
BCC,Forest Products,1197076380,30.7,36.45
ALLO,Biotechnology,3969852480,30.86,27.62
AQUA,Environmental Services,1834432600,15.63,21.91
MDRX,Information Technology Services,927669810,5.74,7.94
PRO,Information Technology Services,1446850400,33.31,46.7
CRS,Steel,1016336426,20.64,38.2
FIBK,Regional Banks,2107867112,31.72,35.93
FSCT,Information Technology Services,1564891713,31.92,32.66
OPI,Real Estate Investment Trusts,1234909620,25.84,30.51
IRET,Real Estate Investment Trusts,773468796,58.68,72.45
DRQ,Oilfield Services/Equipment,1061511000,29.18,36.99
BLMN,Restaurants,911499920,9.51,18.45
LILAK,Cable/Satellite TV,1830511564,9.76,15.42
GOLF,Recreational Products,1995828364,26.83,26.56
CSWI,Industrial Specialties,988030320,65.84,69.23
CTB,Automotive Aftermarket,1034976940,20.27,25.55
AMCX,Cable/Satellite TV,1243760780,22.87,31.07
IBTX,Regional Banks,1259833486,28.91,47.86
DRNA,Biotechnology,1534453384,22.52,20.42
MATX,Other Transportation,1251201870,28.41,33.21
CAR,Finance/Rental/Leasing,971694526,13.88,32.28
MYGN,Biotechnology,1136887500,14.82,18.06
ODP,Specialty Stores,1058176000,1.85,2.44
TRS,Miscellaneous Manufacturing,1001025376,22.91,26.75
LKFN,Regional Banks,1040633490,39.01,43.03
MSTR,Internet Software/Services,1157512716,120.81,136.72
ATSG,Airlines,1175785280,19.52,17.55
HNI,Office Equipment/Supplies,967669506,22.86,33.5
KRNY,Savings Banks,742099680,8.54,11.29
EDIT,Biotechnology,1371266044,25.6,22.72
THRM,Auto Parts: OEM,1190511828,37.33,42.07
RUN,Electric Utilities,1613413050,13.25,19.36
PBF,Oil Refining/Marketing,1300659297,10.17,21.97
SVC,Real Estate Investment Trusts,1023600520,5.95,18.18
INVA,Pharmaceuticals: Other,1361740800,13.44,13.78
PFS,Savings Banks,869152200,12.85,20.93
TTMI,Electronic Components,1157050440,11.04,13.29
SWI,Packaged Software,5237141000,17.25,18.48
MTSI,Semiconductors,1934836455,29.13,26.57
ITCI,Biotechnology,1134023130,17.89,21.88
LZB,Home Furnishings,1029297880,22.26,29.16
AX,Savings Banks,1299897703,20.88,25.93
GCP,Industrial Specialties,1221041500,16.91,19.64
AMKR,Semiconductors,2346379770,9.72,10.54
JRVR,Property/Casualty Insurance,1034641560,34.12,42.68
MEI,Electronic Components,1047449840,28.43,30.12
SBCF,Regional Banks,1134781710,20.73,26.14
ECOL,Environmental Services,1032753326,31.57,44.64
HURN,Miscellaneous Commercial Services,998958280,43.88,59.56
CVET,Packaged Software,1192342320,11.23,10.9
GPI,Specialty Stores,972629019,54.43,83.64
CBZ,Miscellaneous Commercial Services,1233721803,22.63,26.95
DDD,Industrial Machinery,975898070,8.33,9.53
BHE,Electronic Components,723221760,19.43,27.56
XHR,Real Estate Investment Trusts,1041067080,8.5,15.61
FBP,Regional Banks,1175887790,5.21,8.3
CUB,Aerospace & Defense,1169218560,37.0,55.56
